page_id,url,canonical,page_type,parent,primary_intent,primary_keyword,secondary_cluster,board,year,unique_value,required_source,source_status,freshness_class,indexation,schema,internal_link_parents,internal_link_children,batch,content_status,technical_status,notes
home,/,self,home,-,site.brand,12thclassresult.com.pk,site brand navigational,-,-,"Honest national status summary; states what is NOT announced",derived,n/a,B,index,"WebPage,Organization,WebSite",-,"result-hub,boards",0,written,BUILT,"Must never own a head result term; enforced by test."
result-hub,/results/12th-class,self,result-hub,home,result.head,12th class result,"2nd year result; hssc part 2 result; inter part 2 result; intermediate part 2; 12 class result",-,evergreen,"THE canonical owner; terminology explainer; national board table; what is not announced",derived,verified,B,index,"WebPage,BreadcrumbList",home,"boards,board pages,guides",0,written,BUILT,"Durable asset. Competitor year-stamped URLs 404 while yearless resolve."
boards,/boards,self,board-directory,home,board.directory,education boards pakistan 12th class result,bise board list,-,-,"All 26 public + 2 private, labelled by verification status",derived,verified,C,index,"WebPage,ItemList",home,"board pages",0,written,BUILT,"Expand from 10 to 28. Shows planned boards honestly, unlinked."
guide-rechecking,/guides/rechecking,self,guide,result-hub,post.rechecking,12th class rechecking,"hssc rechecking; re-evaluation; re-totalling",-,-,"FIRST sourced per-board rechecking reference in Pakistan; leads with re-marking being excluded",direct,"VERIFIED primary docs",B,index,"WebPage,Article,BreadcrumbList",result-hub,"per-board rechecking, second-annual",0,drafted,PROPOSED,"HIGHEST-VALUE GAP. Every engine returns Indian content."
guide-lost-roll,/guides/lost-roll-number,self,guide,result-hub,trouble.roll-number,result without roll number,"forgot roll number; lost roll number slip",-,-,"Recovery procedure; the weakest surface observed anywhere",none,n/a,C,index,"WebPage,Article,BreadcrumbList",result-hub,-,0,drafted,PROPOSED,"Frame strictly as recovery. NEVER as name lookup."
guide-percentage,/guides/how-percentage-is-calculated,self,guide,result-hub,compute.percentage,12th class percentage calculation,"marks out of 1100; hssc percentage",-,-,"The Pakistan rule, against a foreign CGPA formula currently ranking",direct,n/a,D,index,"WebPage,Article,BreadcrumbList",result-hub,tool-percentage,0,drafted,PROPOSED,"Market answer is actively wrong for Pakistan."
tool-percentage,/tools/percentage-calculator,self,tool,guide-percentage,compute.percentage.tool,hssc percentage calculator,12th class marks calculator,-,-,"A tool that actually calculates, correct for Pakistan",none,n/a,D,index,"WebApplication",guide-percentage,-,1,proposed,PROPOSED,"No aggregate formula hard-coded without source and cycle metadata."
result-2026,/results/12th-class/2026,self,result-year,result-hub,result.session.current,12th class result 2026,"2nd year result 2026; hssc part 2 result 2026",-,2026,"Board-by-board declaration status for this session",derived,verified,A,index,"WebPage,BreadcrumbList",result-hub,"board pages",1,gated,PLANNED,"GATE: create only when at least one board has declared. Archives to class D after session."
board-quetta,/results/quetta-board/12th-class,self,result-board,result-hub,result.board,quetta board 12th class result,bbise hssc result,quetta-board,evergreen,"THE ONLY board verified as having DECLARED its HSSC 2026 result, with Part-I and Part-II gazettes",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"gazette-quetta",1,proposed,PLANNED,"Build first among board pages. Roll No + Year + Session + Class selectors."
board-karachi,/results/karachi-board/12th-class,self,result-board-groupwise,result-hub,result.board,karachi board 12th class result,"inter board karachi result; biek result",karachi-board,evergreen,"GAZETTE-ONLY + PER-GROUP: 7 declarations 31 Jul-27 Aug 2026, Commerce still undeclared",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"gazette-karachi",1,proposed,PLANNED,"NO roll-number lookup exists. Gazette IS the route. Highest-differentiation page in the inventory."
board-lahore,/results/lahore-board/12th-class,self,result-board,result-hub,result.board,lahore board 12th class result,lahore board 2nd year result,lahore-board,evergreen,"Portal verified; CAPTCHA confirmed; multi-site caution",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,-,2,proposed,PLANNED,"Outbound link only - CAPTCHA forecloses integration."
board-gujranwala,/results/gujranwala-board/12th-class,self,result-board,result-hub,result.board,gujranwala board 12th class result,gujranwala board 2nd year result,gujranwala-board,evergreen,"JS checker + static fallback form; gazette to 2025; full statutory rulebook published",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"gazette-gujranwala,recheck-gujranwala",2,proposed,PLANNED,"Only Punjab board publishing its full regulations."
board-multan,/results/multan-board/12th-class,self,result-board,result-hub,result.board,multan board 12th class result,multan board 2nd year result,multan-board,evergreen,"reCAPTCHA confirmed; old /results-12/ path now redirects",derived,verified,A,index after review,"WebPage,BreadcrumbList",result-hub,"gazette-multan",2,proposed,PLANNED,"Registry correction pending: hasCaptcha -> verified-supported."
