asset,url,asset_type,target_audience,unique_data,source_quality,link_potential,pr_angle,refresh,status,links_earned,mentions
Rechecking fee & rules comparison,/guides/rechecking,data_reference,"students; parents; education journalists","Six Punjab boards' published fees, deadlines, modes and refund rules — including one board's THREE conflicting official figures. Every figure attributed to the examination it was read from.",primary_board_documents,HIGH,"The market answers Pakistani HSSC rechecking with Indian board rules. Also: no board has published an HSSC-level fee at all — the figures in circulation are matric figures.",30d,PUBLISHED,0,0
Board directory with verified capabilities,/boards,data_reference,"students; educators; journalists","28 boards with official site, the portal that actually serves HSSC Part-II, and six-state capability per source. Records what was NOT verified, not just what was.",primary_board_sites,HIGH,"Four boards have no online roll-number checker at all — a fact no competitor represents, because they all show a roll-number box for every board.",90d,PUBLISHED,0,0
Percentage explainer,/guides/how-percentage-is-calculated,explainer,"students; educators","The Pakistani rule (marks out of a total) against the CBSE CGPA x 9.5 formula currently ranking for the query.",verified_research,MEDIUM,"The ranking answer for a common Pakistani student question is an Indian formula that produces a meaningless number.",365d,PUBLISHED,0,0
Percentage calculator,/tools/percentage-calculator,tool,"students","Computes percentage and deliberately returns NO grade or division, because board grade bands could not be verified.",n/a,MEDIUM,"A calculator that refuses to guess the one number students most want is more trustworthy than one that guesses.",365d,PUBLISHED,0,0
Methodology / verification policy,/methodology,trust,"journalists; educators; researchers","Five confidence states, source hierarchy, what is never published, corrections process.",n/a,MEDIUM,"Citability infrastructure: lets a journalist answer 'where did this number come from and when was it checked' without asking.",365d,PUBLISHED,0,0
Per-group declaration model (Karachi),/results/karachi-board/12th-class,data_reference,"Sindh students; education journalists","Seven groups declared across four weeks, with Commerce still undeclared while six others were out. Rendered per group, never as one board-level date.",primary_board_gazette,HIGH,"Every Punjab-centric competitor models 'one board = one date' and is structurally wrong for Sindh.",3d,DRAFT,0,0
HSSC result date archive,,dataset,"journalists; researchers","Board-by-board actual announcement dates with sources, year over year.",primary_board_notifications,HIGH,"Nobody archives these — news outlets carry them on announcement day and then lose them.",30d,NOT_BUILT,0,0
Board result-method matrix,,dataset,"journalists; educators","Which boards support roll number, name, SMS, gazette — with verification state per method.",primary_board_sites,HIGH,"Derived from data the site already holds; needs a standalone citable URL and a methodology note.",90d,NOT_BUILT,0,0
Gazette availability index,,dataset,"students; researchers","Which boards publish a Part-II gazette, for which years, and where.",primary_board_gazettes,MEDIUM,"Boards publish deep archives (2012-2025) that rank only on archival phrasing.",90d,NOT_BUILT,0,0
Result-day portal resilience report,,dataset,"journalists; education sector","Observed availability of board portals during an actual result window.",own_monitoring,MEDIUM,"Requires a live result season and a launched site. Original data nobody else collects.",annual,BLOCKED,0,0
Annual HSSC review,,report,"journalists; education sector","Announcement dates, source availability, gazette publication, verified statistics for a cycle.",mixed_primary,HIGH,"Compounds year over year. Requires a completed cycle observed from a live site.",annual,BLOCKED,0,0
