keyword_cluster,intent,proposed_canonical_url,competing_or_proposed_url,conflict_type,recommendation,evidence_status,notes
"12th class result / 2nd year result / second year result / HSSC part 2 result / HSSC part II result / inter part 2 result / intermediate part 2 result / 12 class result / class 12 result","Head result intent - find and check a 12th class result",/results/12th-class,"/2nd-year-result, /hssc-part-2-result, /inter-part-2-result, /second-year-result",Pure synonym duplication,merge,VERIFIED,"Live search returns the same domains and frequently the same URLs across these wordings. One intent, one canonical owner; synonyms are queryVariants on the hub. A validation test asserts this."
"12th class result 2026 / 2nd year result 2026 / hssc part 2 result 2026","Current-session result status",/results/12th-class/2026,/results/12th-class,Evergreen hub vs year hub,differentiate,VERIFIED,"Intended split. IMPORTANT ARCHITECTURAL EVIDENCE: no competitor maintains year-stamped archive URLs - year-stamped equivalents 404 while yearless URLs resolve and carry the year in the title. Sites that bake the year into the DOMAIN have a one-season architecture. Keep the evergreen hub as the durable canonical owner and treat the year page as a status surface, not the primary asset."
"12thclassresult.com.pk / site brand navigational",Navigational,/,/results/12th-class,Homepage vs head-term hub,differentiate,VERIFIED,"The homepage must NOT own the head result term. Enforced by a validation test."
"<board> 12th class result / <board> 2nd year result","Board-specific result",/results/<board-slug>/12th-class/2026,/results/12th-class/2026,Board page vs year hub,differentiate,VERIFIED,"Distinct entities. Justified ONLY where the board page carries board-specific verified facts. A board page that is the year hub with a name swapped is a thin clone and must not ship."
"<board> 12th class result (yearless) vs <board> 12th class result 2026","Board result, year ambiguity",/results/<board-slug>/12th-class/2026,/results/<board-slug>/12th-class,Board hub vs board+year,NEEDS MORE EVIDENCE,PENDING,"Board-specific SERP sweep still outstanding. Default if unresolved: one board page per current session with historical years as sections."
"board directory vs board result page","Board information vs result task",/boards,/results/<board-slug>/12th-class/2026,Hub vs task page,differentiate,VERIFIED,"Directory describes and routes; result page performs the task."
"FSc part 2 result / FSc result","Group result - science",/results/12th-class/fsc,/results/12th-class,Group page vs head hub,CONDITIONAL,VERIFIED,"REVISED ON EVIDENCE. Generic and group queries share ZERO identical URLs and market leaders serve group terms from separate URLs - so these are NOT simple synonyms. BUT in Punjab/KPK/Federal the board form has no group field and all groups are declared in one simultaneous event, so a group page duplicates one identical lookup and one identical date. APPROVE ONLY IF differentiated by genuinely group-specific content: subject list, marks distribution, grading, and post-result pathways. FSc is the cleanest group term - the abbreviation is effectively unique to Pakistan."
"FA part 2 result","Group result - arts",/results/12th-class/fa,/results/12th-class,Group page vs head hub,CONDITIONAL,VERIFIED,"Same conditions as FSc. NOTE the bare term 'FA result' is UNUSABLE - 0/10 Pakistani results (Fanconi Anemia, the FA Cup). Target 'FA part 2 result', which returns a clean Pakistani result set. Never target the bare form."
"ICS part 2 result","Group result - computer science",/results/12th-class/ics,/results/12th-class,Group page vs head hub,CONDITIONAL,VERIFIED,"Same conditions. The bare term 'ICS result' is UNUSABLE - 0/10 Pakistani (ICSE India, inhaled corticosteroids). Adding a year makes it WORSE, not better. Only the 'part 2' form is viable."
"ICom part 2 result / I.Com result","Group result - commerce",/results/12th-class/icom,/results/12th-class,Group page vs head hub,CONDITIONAL,VERIFIED,"Same conditions. Needs a year or Pakistan qualifier - the bare term pulls Indian professional-body results."
"pre-medical result / pre-engineering result / science general result / humanities result (Karachi)","Group result - Sindh, genuinely separate event",/results/karachi-board/12th-class/2026,"/results/12th-class/fsc",Distinct real-world event,keep,VERIFIED,"STRONGEST GROUP CASE IN THE MARKET. Karachi's intermediate board has NO roll-number search at all and publishes one gazette PDF per group on staggered dates - 2026 declarations spanned nearly a month (Pre-Medical 31-07, Humanities Private 31-07, Humanities Regular 07-08, Pre-Engineering 17-08, Science General 27-08). Different date, different gazette, different artifact. Incumbents are document uploads, social posts and raw PDFs - no national aggregator ranks at all. This is NOT cannibalization of the Punjab group pages; it is a different event model."
"12th class result date / 2nd year result date 2026 / result announcement time","Result date",/results/12th-class/2026,/results/12th-class/2026/date,Date section vs date page,merge,VERIFIED,"One page serves date + announcement time + 'when will it be announced' - same intent. BLOCKED regardless: no board has published an HSSC Part-II 2026 date, and the market contradicts itself (Punjab-wide 23 Sept vs one board at 15 Oct, with that same date assigned elsewhere to 11th class). Nothing to publish until a board source exists."
"<board> result date 2026","Board-specific date",/results/<board-slug>/12th-class/2026,/results/12th-class/2026,Board date vs central date,differentiate,VERIFIED,"Board-level splits are mandatory once sourced - a single board's date is demonstrably a different answer from the province-wide one. Until sourced, one unsourced value repeated across nine board pages would be nine-fold duplication of a fact we do not have."
"check 12th class result by roll number","Method - roll number",/results/12th-class,/guides/check-result-by-roll-number,Method guide vs hub,merge,VERIFIED,"One page provably serves roll number + name + SMS + gazette together - the leading competitor does exactly that and ranks across all four. Keep as hub sections, not separate URLs."
"12th class result by name","Method - name",NONE,/guides/result-by-name,Capability not offered by most boards,reject,VERIFIED,"Most board portals have no name field. One Punjab board DOES support name search - which is an enumeration/privacy concern, not a feature to promote. We will not publish a page promising name lookup."
"12th class result without roll number","Troubleshooting - recovery",/guides/lost-roll-number,/guides/result-by-name,Recovery vs name lookup,keep,VERIFIED,"WEAKEST SURFACE OBSERVED IN THE ENTIRE STUDY - video, Q&A and short-form UGC only, with no authoritative answer anywhere. Genuine unserved intent. Must be framed as roll-number RECOVERY, never as name lookup."
"12th class result by SMS / <board> SMS code","Method - SMS",NONE,/results/12th-class (section),Unverifiable facts,reject,VERIFIED,"BLOCKED. A fuller conflicting set is now recorded (nine Punjab codes plus a federal one, one truncated, and a claim that one board's code applies province-wide). NONE has been observed on a board domain. No code ships without the board page that prints it."
"12th class gazette / HSSC gazette pdf / <board> gazette <year>","Gazette - document retrieval",/gazettes/12th-class,/results/12th-class,Gazette hub vs result hub,keep,VERIFIED,"Distinct task: readers want a FILE to search, not a page to read - the HTML wrapper ranks and the PDF is the payload. Boards publish deep archives (HSSC Part-I and Part-II 2012-2025 on one board, ~2014-2025 on another) yet rank only on archival phrasing. Current-year gazette queries for a major Punjab board and for the federal board returned mostly 9th/10th/11th material, NOT 12th. The board x class x year matrix is the opportunity."
"old gazette / previous year gazette","Gazette - archival",/gazettes/12th-class/archive,/gazettes/12th-class,Archive vs current,differentiate,VERIFIED,"A genuinely separate archival intent, and the ONE gazette surface where official board domains do rank. Hosting any file ourselves requires a rights and provenance review first."
"12th class position holders 2026","Position holders",NONE,NONE,No source,reject,VERIFIED,"No official 2026 source exists. Publishing would mean copying an unverified competitor list."
"2nd year rechecking / HSSC rechecking / re-evaluation","Post-result - dispute",/guides/rechecking,/guides/second-annual,Distinct post-result intents,keep,VERIFIED,"TOTAL VACUUM - results are 100% Indian boards, with nothing Pakistani ranking at all, despite at least one Pakistani board carrying a Rechecking Application in its own navigation. Rechecking is entirely separate from second annual: challenging marks already awarded, no re-examination, different form, fee and deadline."
"second annual / supplementary exam HSSC","Post-result - retry",/guides/second-annual,/guides/supplementary-exam,Same exam, two vocabularies,merge,VERIFIED,"Second annual and supplementary are the SAME examination under different words; Punjab boards increasingly use the formal 'Second Annual'. Serve both words on one page. Historical note: board gazette archives still list them as separate categories, so they were once distinct and merged over time - the page should say so."
"improvement of marks 12th class","Post-result - improve",/guides/improvement,/guides/second-annual,Same sitting, different eligibility,differentiate,VERIFIED,"Distinct intent delivered through the SAME exam sitting: the candidate has already passed and wants a better grade, not another attempt at a fail. Deserves its own section or page, cross-linked to second annual, because the two are actively confused. Currently a vacuum - ranking content is entirely Indian CBSE."
"DMC / result card / duplicate DMC","Post-result - document",/guides/result-card-dmc,NONE,Whitespace with a hazard,keep,VERIFIED,"Near-zero legitimate coverage. HAZARD OBSERVED: this surface contains tools that FABRICATE result cards, and document-sharing sites hosting individual students' real scanned result cards. We publish guidance only - never a generator, never a hosted candidate document."
"certificate verification / IBCC attestation / equivalence","Post-result - verification",NONE,/guides/certificate-verification,Official-dominated,reject,VERIFIED,"DO NOT COMPETE HEAD-ON. The statutory body owns half the first page of its own intent plus its portals. Correct approach: a short explainer that routes to the official service, not a page attempting to rank for it. Note a lookalike parasite domain also ranks here - another reason to be unambiguous about who we are."
"percentage calculation / 12th class marks calculation","Post-result - computation",/tools/percentage-calculator,/guides/how-percentage-is-calculated,Tool vs explainer,keep,VERIFIED,"VACUUM AND ACTIVELY WRONG: the ranking advice is CBSE's CGPA x 9.5 methodology, which is wrong for Pakistan, where HSSC marks are out of 1100. A correct Pakistan-specific calculator plus explainer is high-value and currently unserved."
"MDCAT / ECAT aggregate calculator","Post-HSSC entry tests",NONE,/tools/aggregate-calculator,Crowded tool intent,reject,VERIFIED,"DO NOT COMPETE. 100% tool pages, transactional, crowded with established players. The medical formula is settled and widely published. Build an aggregate calculator only if it is genuinely better and carries source and cycle metadata - weightings change by institution and admission cycle."
"university admission after 12th","Post-HSSC transition",/guides/after-12th-admissions,/tools/percentage-calculator,Guidance vs tool,CONDITIONAL,VERIFIED,"Low-authority incumbents and the higher-education regulator does not rank. Real opening, but the boundary rule binds: must stay tethered to the result, the DMC or the aggregate, or it becomes a generic careers blog."
"Urdu-script result queries (نتیجہ / بارہویں جماعت کا نتیجہ / رول نمبر سے نتیجہ چیک کریں)","Head result intent, Urdu",/results/12th-class (Urdu section) or /ur/,NONE,Language surface, not a new intent,CONDITIONAL,VERIFIED,"GENUINE VACUUM: Urdu-script results are 100% Pakistani and served entirely by newspapers - zero aggregators, zero lookup tools, zero official boards, and no English aggregator has ANY Urdu presence. Every ranking Urdu roll-number how-to is for matric, never intermediate. CALIBRATION: Urdu intent skews to announcement and statistics rather than lookup. Decide between an Urdu section on canonical pages versus a localized path - do NOT create duplicate English pages targeting transliterated queries."
"Roman-Urdu queries (result kab aayega / kab aa raha hai)","Head result intent, transliterated",/results/12th-class,NONE,Contaminated variant,reject,VERIFIED,"India-dominated and video-first - the phrasing is identical in Hindi and the Indian corpus is far larger. Not worth a dedicated page. Cover the phrasing naturally in Urdu content if at all."
"12th class past papers / pairing scheme / notes / model papers","Academic resources",TBD,/results/12th-class,Resource vs result intent,NEEDS MORE EVIDENCE,PENDING,"Distinct intent from result checking, so no cannibalization risk against the hub. The open question is topical scope and maintainability - addressed in the IA proposal."
