proposed_url,page_family,parent,primary_keyword,secondary_cluster,search_intent,target_entity,board,year,user_task,unique_value,primary_source_required,source_availability,freshness_class,schema_candidate,indexation,priority,cannibalization_risk,evidence_status,notes
/,homepage,-,12thclassresult.com.pk,site brand navigational,Navigational,Site,-,-,"Route to the right board or guide","Honest national status summary; states what is NOT announced",No,n/a,B,"WebPage, Organization, WebSite",index,Tier 0,"Low - must NOT own the head term",BUILT,"Already built. Primary keyword is the brand; enforced by a validation test."
/results/12th-class,result-hub,/,12th class result,"2nd year result; hssc part 2 result; inter part 2 result; intermediate part 2; 12 class result",Informational + transactional,HSSC Part-II,-,evergreen,"Understand the task and reach the right board","THE canonical owner of the head intent; terminology explainer; national board table",Yes,Verified for 10 boards,B,"WebPage, BreadcrumbList",index,Tier 0,"Low - single canonical owner",BUILT,"Durable asset. Competitors' year-stamped URLs 404 while yearless ones resolve."
/boards,board-directory,/,education boards pakistan 12th class result,bise board list,Navigational,Board,-,-,"Find my board and its official portal","All 26 public + 2 private boards, honestly labelled by verification status",Yes,Verified,C,"WebPage, ItemList",index,Tier 0,Low,BUILT,"Already built with 10 boards; expand to national."
/results/12th-class/2026,result-year,/results/12th-class,12th class result 2026,"2nd year result 2026; hssc part 2 result 2026",Transactional / status,HSSC Part-II 2026,-,2026,"Check whether my result is out","Board-by-board status incl. the boards that HAVE declared",Yes,Verified,A,"WebPage, BreadcrumbList",index,Tier 1,"Medium vs evergreen hub - must own the year term only",PLANNED,"Currently registered as planned. Section covers date + announcement time + when."
/results/lahore-board/12th-class/2026,result-board,/results/12th-class/2026,lahore board 12th class result 2026,lahore board 2nd year result,Transactional,BISE Lahore,lahore-board,2026,"Check Lahore board result","Portal verified; CAPTCHA confirmed; multi-site caution",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"CAPTCHA confirmed - outbound link only."
/results/gujranwala-board/12th-class/2026,result-board,/results/12th-class/2026,gujranwala board 12th class result 2026,gujranwala board 2nd year result,Transactional,BISE Gujranwala,gujranwala-board,2026,"Check Gujranwala board result","JS checker + static fallback form; gazette to 2025; best rulebook in Punjab",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Only Punjab board publishing full statutory regulations."
/results/multan-board/12th-class/2026,result-board,/results/12th-class/2026,multan board 12th class result 2026,multan board 2nd year result,Transactional,BISE Multan,multan-board,2026,"Check Multan board result","reCAPTCHA confirmed; old /results-12/ path now redirects",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Registry correction pending: hasCaptcha null -> true."
/results/rawalpindi-board/12th-class/2026,result-board,/results/12th-class/2026,rawalpindi board 12th class result 2026,rawalpindi board 2nd year result,Transactional,BISE Rawalpindi,rawalpindi-board,2026,"Check Rawalpindi board result","Name search exists (privacy note); best rechecking documentation in Punjab",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Registry correction pending: supportsName null -> true."
/results/sargodha-board/12th-class/2026,result-board,/results/12th-class/2026,sargodha board 12th class result 2026,sargodha board 2nd year result,Transactional,BISE Sargodha,sargodha-board,2026,"Check Sargodha board result","B-Form required - warn before the reader leaves",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Best official-API candidate technically."
/results/bahawalpur-board/12th-class/2026,result-board,/results/12th-class/2026,bahawalpur board 12th class result 2026,bahawalpur board 2nd year result,Transactional,BISE Bahawalpur,bahawalpur-board,2026,"Check Bahawalpur board result","Separate routes per session; B-Form/CNIC; CAPTCHA; www cert mismatch",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Highest outage risk nationally - documented >1hr failure."
/results/sahiwal-board/12th-class/2026,result-board,/results/12th-class/2026,sahiwal board 12th class result 2026,sahiwal board 2nd year result,Transactional,BISE Sahiwal,sahiwal-board,2026,"Check Sahiwal board result","Cleanest portal; gazette page is a statistics sheet, not a candidate gazette",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Medium,PLANNED,"Only direct-integration candidate, permission-conditional."
/results/dg-khan-board/12th-class/2026,result-board,/results/12th-class/2026,dg khan board 12th class result 2026,dera ghazi khan board result,Transactional,BISE DG Khan,dg-khan-board,2026,"Check DG Khan board result","Per-session link directory; no 2026 link existed at check time",Yes,Conflicting,A,"WebPage, BreadcrumbList",index after review,Tier 2,Medium,PLANNED,"SLUG SAFETY: never abbreviate D.I. Khan near this slug."
/results/faisalabad-board/12th-class/2026,result-board,/results/12th-class/2026,faisalabad board 12th class result 2026,faisalabad board 2nd year result,Transactional,BISE Faisalabad,faisalabad-board,2026,"Check Faisalabad board result","Route unconfirmed - site WAF-blocks automated checks",Yes,BLOCKED,A,"WebPage, BreadcrumbList",noindex until verified,Tier 3,Low,BLOCKED,"Needs a human with a browser before any page ships."
/results/federal-board/12th-class/2026,result-board,/results/12th-class/2026,fbise 12th class result 2026,federal board hssc part 2 result,Transactional,FBISE,federal-board,2026,"Check Federal board result","Portal location proven by redirect; content unreachable. Jurisdiction includes Gilgit-Baltistan",Yes,BLOCKED,A,"WebPage, BreadcrumbList",noindex until verified,Tier 3,Low,BLOCKED,"GB readers route here - a routing rule, not a GB page."
/results/karachi-board/12th-class/2026,result-board-groupwise,/results/12th-class/2026,karachi board 12th class result 2026,"inter board karachi result; biek result",Transactional,BIEK,karachi-board,2026,"Find my group's result gazette","THE group-staggered model: 7 separate declarations 31 Jul - 27 Aug; Commerce still undeclared",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,"Low - genuinely different event model",PLANNED,"No roll-number lookup exists. Gazette IS the route. Highest-differentiation board page."
/results/hyderabad-board/12th-class/2026,result-board-groupwise,/results/12th-class/2026,hyderabad board 12th class result 2026,biseh hsc part 2 result,Transactional,BISE Hyderabad,hyderabad-board,2026,"Find my group's result file","Per-group publication with NO dates printed by the board",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 2,Low,PLANNED,"Correct domain is biseh.edu.pk; the federally-listed domain has an expired certificate."
/results/quetta-board/12th-class/2026,result-board,/results/12th-class/2026,quetta board 12th class result 2026,bbise hssc result,Transactional / status,BBISE,quetta-board,2026,"Check Balochistan result","THE ONLY board verified as having DECLARED its HSSC 2026 result, with gazettes",Yes,Verified,A,"WebPage, BreadcrumbList",index after review,Tier 1,Low,PLANNED,"Result announced 20 Jul 2026; Part-I and Part-II gazettes on own domain."
/results/mirpur-board/12th-class/2026,result-board,/results/12th-class/2026,ajk board 12th class result 2026,ajk bise hssc part 2 result,Transactional,AJK BISE,mirpur-board,2026,"Check AJK result","Gazette is the verified route; online form is blocked",Yes,Partial,A,"WebPage, BreadcrumbList",index after review,Tier 2,Low,PLANNED,"NEVER link hsscresult.ajkbise.net - it is a hosting default page."
/results/<kpk-board>/12th-class/2026,result-board,/results/12th-class/2026,<board> 12th class result 2026,<board> 2nd year result,Transactional,KPK boards,"abbottabad|swat|dera-ismail-khan|malakand|bannu|mardan|peshawar|kohat",2026,"Check KPK board result","Abbottabad/Swat/D.I. Khan have the deepest selectors; Bannu has a confirmed CAPTCHA",Yes,"Verified (7 of 8); Kohat BLOCKED",A,"WebPage, BreadcrumbList",index after review,Tier 2,Medium,PLANNED,"Pattern row for 8 boards. Peshawar/Mardan expose one session at a time - deep links rot."
/results/<sindh-board>/12th-class/2026,result-board,/results/12th-class/2026,<board> 12th class result 2026,<board> hsc part 2 result,Transactional,Sindh boards,"larkana|sukkur|mirpurkhas|shaheed-benazirabad",2026,"Check interior Sindh result","Larkana fully chained; three others have weak or no verified route",Yes,"Partial; Sukkur and SBA UNVERIFIED",A,"WebPage, BreadcrumbList",noindex until verified,Tier 3,Medium,PLANNED,"Sukkur has NO result route on its official domain; SBA's site returns 503."
/gazettes/12th-class,gazette-hub,/results/12th-class,12th class gazette,"hssc gazette pdf; 2nd year gazette",Direct lookup via document,Gazette,-,-,"Find the right gazette file and search it","Board x session x year matrix - current-year queries return mostly 9th/10th/11th today",Yes,Verified,B,"WebPage, BreadcrumbList",index,Tier 1,Low,PROPOSED,"For gazette-only boards this is the ONLY official route, not a fallback."
/gazettes/12th-class/archive,gazette-archive,/gazettes/12th-class,old 12th class gazette,previous year hssc gazette,Archival,Gazette,-,historical,"Find a past-year gazette","The one gazette surface where board domains themselves rank",Yes,Verified,D,"WebPage, BreadcrumbList",index,Tier 2,Low,PROPOSED,"Hosting any file requires a rights and provenance review first."
